what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1381272556069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272557513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272561144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1381272561161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272563022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272595835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1381272595948
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381272598680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272609660
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1381272620829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272621632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1381272621642
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1381272623103
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381272662683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272683041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381272694483
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1381272695397
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381272701425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1381272702441
